"location description","amount"
"STREET","4609"
"RESIDENCE","3472"
"APARTMENT","3030"
"SIDEWALK","1962"
"OTHER","886"
"PARKING LOT/GARAGE(NON.RESID.)","541"
"SMALL RETAIL STORE","491"
"ALLEY","409"
"DEPARTMENT STORE","408"
"RESIDENCE PORCH/HALLWAY","397"
"RESTAURANT","389"
"SCHOOL, PUBLIC, BUILDING","377"
"VEHICLE NON-COMMERCIAL","370"
"RESIDENCE-GARAGE","358"
"RESIDENTIAL YARD (FRONT/BACK)","345"
"GROCERY FOOD STORE","271"
"GAS STATION","215"
"BAR OR TAVERN","137"
"CONVENIENCE STORE","110"
"COMMERCIAL / BUSINESS OFFICE","102"
"HOTEL/MOTEL","99"
"VACANT LOT/LAND","97"
"CTA TRAIN","91"
"HOSPITAL BUILDING/GROUNDS","82"
"SCHOOL, PUBLIC, GROUNDS","78"
"DRUG STORE","78"
"BANK","73"
"DRIVEWAY - RESIDENTIAL","68"
"PARK PROPERTY","61"
"POLICE FACILITY/VEH PARKING LOT","58"
"CTA BUS","57"
"ATHLETIC CLUB","56"
"CHA APARTMENT","54"
"CURRENCY EXCHANGE","54"
"NURSING HOME/RETIREMENT HOME","53"
"CTA BUS STOP","52"
"CTA STATION","52"
"CHA PARKING LOT/GROUNDS","49"
"GOVERNMENT BUILDING/PROPERTY","48"
"TAVERN/LIQUOR STORE","46"
"CTA PLATFORM","46"
"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","46"
"CHURCH/SYNAGOGUE/PLACE OF WORSHIP","45"
"ABANDONED BUILDING","41"
"SCHOOL, PRIVATE, BUILDING","41"
"TAXICAB","30"
"CONSTRUCTION SITE","30"
"WAREHOUSE","27"
"ATM (AUTOMATIC TELLER MACHINE)","25"
"LIBRARY","25"
"VEHICLE-COMMERCIAL","25"
"MEDICAL/DENTAL OFFICE","19"
"CTA GARAGE / OTHER PROPERTY","18"
"FACTORY/MANUFACTURING BUILDING","18"
"SPORTS ARENA/STADIUM","17"
"BARBERSHOP","16"
"CHA HALLWAY/STAIRWELL/ELEVATOR","16"
"OTHER RAILROAD PROP / TRAIN DEPOT","15"
"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","15"
"JAIL / LOCK-UP FACILITY","12"
"SCHOOL, PRIVATE, GROUNDS","11"
,"11"
"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA","9"
"COLLEGE/UNIVERSITY GROUNDS","8"
"AIRPORT BUILDING NON-TERMINAL - SECURE AREA","8"
"CLEANING STORE","7"
"MOVIE HOUSE/THEATER","7"
"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA","7"
"AIRPORT/AIRCRAFT","7"
"AIRPORT EXTERIOR - NON-SECURE AREA","6"
"OTHER COMMERCIAL TRANSPORTATION","5"
"ANIMAL HOSPITAL","5"
"PAWN SHOP","5"
"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA","5"
"CAR WASH","5"
"APPLIANCE STORE","5"
"AIRPORT PARKING LOT","5"
"POOL ROOM","4"
"HOUSE","4"
"AIRPORT VENDING ESTABLISHMENT","4"
"CREDIT UNION","4"
"COLLEGE/UNIVERSITY RESIDENCE HALL","3"
"FEDERAL BUILDING","3"
"AIRCRAFT","3"
"DAY CARE CENTER","3"
"FIRE STATION","3"
"COIN OPERATED MACHINE","3"
"CEMETARY","2"
"BRIDGE","2"
"AIRPORT EXTERIOR - SECURE AREA","2"
"PARKING LOT","2"
"AIRPORT TRANSPORTATION SYSTEM (ATS)","1"
"LAKEFRONT/WATERFRONT/RIVERBANK","1"
"HIGHWAY/EXPRESSWAY","1"
"RETAIL STORE","1"
"DELIVERY TRUCK","1"
"HALLWAY","1"
"VACANT LOT","1"
"CTA TRACKS - RIGHT OF WAY","1"
